AÑO,DEPTO,POBL_EDAD_TRAB,TO,TD,IND_POBR_MON,INFLACION
2016,CAUCA,79.88143573266352,55.28757291071728,7.9147834606448,50.7,5.75
2016,CESAR,75.91151773477411,50.058768233018256,11.4640673809332,41.9,5.75
2016,CHOCO,72.16596504706727,45.5503300828088,10.680619821370923,59.8,5.75
2016,CORDOBA,77.31273993393447,54.56432354468441,9.74916082985425,44.8,5.75
2016,CUNDINAMARCA,79.90658113923676,64.2007281170655,8.053258969776712,17.3,5.75
2016,HUILA,78.42890997287981,58.35893150888155,8.009587707925679,45.9,5.75
2016,LA GUAJIRA,72.39464890409694,61.756526419664475,9.146849455181343,52.5,5.75
2016,MAGDALENA,75.16477989398447,52.512551780669526,8.426426481179291,50.0,5.75
2016,META,78.08743794094592,56.04732873919,10.815386727346091,24.5,5.75
2016,NARIÑO,79.66640240104195,64.11845362869262,7.602884884267629,45.7,5.75
2016,NORTE DE SANTANDER,78.81248985524624,51.987809856019,12.603828434721038,40.4,5.75
2016,QUINDIO,81.22626458425314,55.749853284160956,13.928452022734866,30.3,5.75
2016,RISARALDA,81.83000541131194,57.87103882061121,9.254221341420694,19.6,5.75
2016,SANTANDER,81.66515211359824,63.87323360728435,7.269903972682817,18.0,5.75
2016,SUCRE,78.07200445623367,54.432521642764776,9.381579045252673,46.7,5.75
2016,TOLIMA,79.6747386026803,61.787747926778,10.319842626334287,31.4,5.75
2016,VALLE DEL CAUCA,81.7972625100681,59.08187512311866,11.176095261831223,22.6,5.75
2015,ANTIOQUIA,81.263458701351,56.871616520538026,9.237427027237487,23.7,6.77
2015,ATLANTICO,79.15244057550754,58.35834412314036,7.952013085867909,25.7,6.77
2015,BOGOTA DC,81.72100273687836,65.36433734992264,8.739739613144248,10.4,6.77
2015,BOLIVAR,77.54421735297161,55.44985257539561,6.9689035247899005,39.3,6.77
2015,BOYACA,80.37378564713255,59.129381191569074,6.185885886350316,35.4,6.77
2015,CALDAS,81.56622884216557,51.944923914243915,8.364800938664986,27.9,6.77
2015,CAQUETA,75.22254882256388,50.65530379989925,7.778368929087179,41.3,6.77
2015,CAUCA,79.65365454346393,53.59781318497265,10.112097115212872,51.6,6.77
2015,CESAR,75.61495943682944,51.447311932996904,8.908076713875088,42.3,6.77
2015,CHOCO,71.86346457637627,43.32381699695589,11.0165568401982,62.8,6.77
